Booking_ID,Listing_ID,Date_Booked,Check_In_Date,Check_Out_Date,Price_Per_Night,Number_of_Nights,Total_Booking_Cost,Room_Type,Neighborhood,Guest_Count,Host_ID,Cancellation_Policy,Booking_Status
65,1206,4/12/2024,4/20/2024,4/23/2024,262.45,3,824.04,Shared room,Suburbs,4,5233,Moderate,Cancelled
66,1132,1/13/2023,4/11/2023,4/17/2023,390.02,6,2359.33,Entire home/apt,Suburbs,7,5167,Moderate,Confirmed
67,1185,1/31/2025,10/29/2024,11/5/2024,384.54,7,2726.83,Shared room,Uptown,8,5370,Strict,Cancelled
68,1118,2/8/2024,1/31/2024,2/8/2024,253.82,8,2061.64,Private room,Midtown,6,5036,Moderate,Cancelled
69,1372,3/27/2024,12/16/2024,12/26/2024,238.94,10,2434.32,Private room,Suburbs,2,5469,Moderate,Cancelled
70,1148,8/21/2023,5/4/2024,5/17/2024,125.06,13,1668.6,Entire home/apt,Uptown,4,5322,Moderate,Cancelled
71,1333,9/28/2023,12/22/2024,1/3/2025,296.9,12,3601.23,Shared room,Midtown,7,5450,Moderate,Cancelled
72,1120,8/19/2023,10/23/2023,11/2/2023,394.56,10,3974.04,Entire home/apt,Uptown,2,5213,Flexible,Cancelled
73,1020,3/30/2023,3/3/2024,3/11/2024,97.92,8,821.59,Entire home/apt,Beachfront,4,5233,Flexible,Cancelled
74,1475,9/10/2024,6/15/2024,6/22/2024,207.79,7,1473.97,Entire home/apt,Uptown,3,5216,Flexible,Confirmed
75,1408,8/21/2023,10/3/2023,10/11/2023,386.13,8,3111.82,Entire home/apt,Beachfront,7,5271,Strict,Cancelled
76,1232,9/27/2024,12/7/2024,12/8/2024,241.34,1,259.8,Private room,Midtown,2,5228,Moderate,Confirmed
77,1006,8/8/2023,7/29/2024,8/4/2024,195.65,6,1191.58,Shared room,Downtown,3,5480,Moderate,Confirmed
78,1191,8/29/2023,11/25/2023,11/27/2023,426.99,2,895.97,Shared room,Uptown,6,5467,Moderate,Cancelled
79,1411,2/3/2024,3/24/2024,3/29/2024,163.51,5,841.13,Private room,Uptown,5,5048,Strict,Cancelled
80,1172,3/20/2023,2/21/2025,3/2/2025,328.12,9,2984.99,Private room,Beachfront,4,5448,Strict,Cancelled
81,1313,9/18/2023,1/31/2025,2/2/2025,487.2,2,1005.43,Entire home/apt,Downtown,6,5086,Flexible,Confirmed
82,1205,5/21/2023,4/20/2023,4/27/2023,277.65,7,1968.92,Shared room,Downtown,6,5224,Moderate,Confirmed
83,1267,1/15/2025,11/15/2023,11/23/2023,417.56,8,3367.21,Entire home/apt,Uptown,7,5428,Flexible,Confirmed
84,1300,11/16/2023,2/22/2025,3/5/2025,400.87,11,4434.49,Shared room,Suburbs,1,5193,Moderate,Cancelled
85,1388,7/30/2024,8/3/2024,8/11/2024,447.31,8,3627.15,Private room,Uptown,3,5264,Moderate,Confirmed
86,1062,4/11/2023,11/21/2024,11/25/2024,225.64,4,928.97,Shared room,Downtown,4,5396,Flexible,Confirmed
87,1454,7/15/2023,8/23/2023,9/4/2023,412.31,12,4958.24,Private room,Downtown,6,5358,Strict,Confirmed
88,1197,8/13/2024,4/6/2024,4/7/2024,266.54,1,285.2,Entire home/apt,Uptown,3,5401,Moderate,Confirmed
89,1107,5/31/2023,10/18/2024,10/24/2024,212.96,6,1292.26,Entire home/apt,Suburbs,7,5178,Moderate,Cancelled
90,1010,6/23/2023,8/20/2023,8/27/2023,220.3,7,1553.18,Private room,Downtown,3,5481,Moderate,Confirmed
91,1208,2/18/2025,7/9/2024,7/23/2024,76.84,14,1124.16,Entire home/apt,Downtown,8,5192,Flexible,Cancelled
92,1292,11/8/2024,2/13/2023,2/14/2023,198.85,1,217.46,Shared room,Downtown,6,5351,Flexible,Cancelled
93,1363,2/21/2024,1/16/2024,1/19/2024,427.69,3,1331.86,Shared room,Uptown,5,5446,Strict,Confirmed
94,1350,12/1/2023,10/29/2024,11/12/2024,332.19,14,4692.9,Shared room,Beachfront,5,5245,Moderate,Confirmed
95,1192,12/28/2024,2/22/2023,3/4/2023,62.27,10,643.19,Shared room,Midtown,2,5300,Moderate,Confirmed
96,1013,9/4/2023,3/31/2024,4/2/2024,114.66,2,240.79,Shared room,Downtown,6,5486,Strict,Cancelled
97,1495,2/21/2025,9/18/2024,9/20/2024,374.31,2,795.68,Shared room,Uptown,3,5319,Moderate,Confirmed
98,1292,9/15/2023,3/4/2024,3/13/2024,237.12,9,2153.66,Shared room,Uptown,3,5385,Flexible,Confirmed
99,1427,1/1/2024,11/26/2023,11/27/2023,304.11,1,349.4,Private room,Suburbs,8,5108,Moderate,Cancelled
100,1358,12/9/2023,5/29/2023,6/6/2023,169.43,8,1370.33,Shared room,Uptown,1,5167,Strict,Confirmed
101,1411,10/12/2023,3/28/2024,4/8/2024,142.11,11,1595.08,Private room,Midtown,5,5137,Moderate,Cancelled
102,1195,6/17/2024,11/16/2023,11/17/2023,431.7,1,447.39,Shared room,Downtown,1,5354,Strict,Cancelled
103,1280,7/25/2023,1/3/2023,1/10/2023,63.79,7,493.94,Entire home/apt,Midtown,8,5077,Flexible,Confirmed
104,1303,1/31/2024,10/5/2024,10/8/2024,259.33,3,799.97,Private room,Uptown,2,5133,Moderate,Cancelled
105,1130,6/2/2023,10/25/2024,11/6/2024,413.93,12,4995.2,Entire home/apt,Downtown,1,5325,Flexible,Cancelled
106,1248,12/11/2024,9/19/2024,9/26/2024,290.45,7,2045.62,Private room,Midtown,3,5425,Flexible,Cancelled
107,1102,4/8/2023,12/20/2024,12/29/2024,306.5,9,2792.16,Shared room,Uptown,5,5244,Strict,Cancelled
108,1156,12/2/2024,9/6/2024,9/11/2024,87.96,5,456.56,Shared room,Suburbs,3,5410,Moderate,Confirmed
109,1144,11/30/2024,5/1/2023,5/12/2023,182.37,11,2053.75,Private room,Beachfront,5,5500,Moderate,Confirmed
110,1125,9/20/2023,11/4/2024,11/8/2024,440.59,4,1787.96,Shared room,Uptown,3,5445,Flexible,Confirmed
111,1218,12/8/2023,8/5/2024,8/8/2024,433.66,3,1345.5,Shared room,Suburbs,5,5071,Moderate,Cancelled
112,1410,8/22/2023,4/19/2024,4/26/2024,422.97,7,2988.54,Private room,Downtown,1,5467,Strict,Confirmed
113,1031,7/20/2023,12/31/2024,1/6/2025,227.16,6,1398.44,Shared room,Suburbs,3,5361,Strict,Cancelled
114,1331,7/1/2023,1/3/2025,1/10/2025,232.18,7,1658.67,Private room,Midtown,3,5009,Flexible,Confirmed
115,1479,3/6/2023,6/1/2024,6/14/2024,279.36,13,3675.78,Entire home/apt,Uptown,7,5102,Moderate,Cancelled
116,1228,3/3/2024,10/27/2024,10/28/2024,402.44,1,439.54,Entire home/apt,Uptown,8,5074,Strict,Confirmed
117,1450,12/6/2023,2/28/2024,3/12/2024,107.18,13,1433.27,Shared room,Beachfront,5,5339,Flexible,Cancelled
118,1350,12/31/2024,5/18/2024,5/19/2024,249.34,1,266.72,Entire home/apt,Downtown,7,5456,Moderate,Cancelled
119,1272,10/24/2023,2/3/2025,2/4/2025,241.26,1,260.21,Shared room,Downtown,6,5281,Strict,Confirmed
120,1374,7/20/2024,8/30/2024,9/9/2024,483.9,10,4851.18,Shared room,Beachfront,5,5298,Strict,Cancelled
121,1449,9/16/2024,7/28/2023,8/4/2023,173.14,7,1234.12,Shared room,Midtown,2,5261,Flexible,Confirmed
122,1168,7/24/2024,2/14/2023,2/20/2023,108.52,6,693.01,Entire home/apt,Downtown,7,5351,Flexible,Confirmed
123,1114,3/28/2024,11/6/2023,11/9/2023,266.4,3,816.14,Shared room,Midtown,3,5213,Moderate,Confirmed
124,1498,10/13/2024,3/30/2023,4/6/2023,358.08,7,2517.05,Private room,Suburbs,2,5022,Moderate,Confirmed
125,1451,10/21/2024,3/31/2024,4/11/2024,428.05,11,4757.24,Entire home/apt,Beachfront,6,5040,Flexible,Confirmed
126,1464,8/17/2023,12/20/2023,1/2/2024,139.32,13,1825.61,Shared room,Uptown,3,5493,Moderate,Confirmed
127,1081,7/7/2023,9/18/2024,10/1/2024,61.24,13,809.17,Private room,Suburbs,3,5283,Flexible,Cancelled
128,1306,10/27/2024,12/13/2023,12/15/2023,451.58,2,936.2,Shared room,Midtown,8,5102,Strict,Cancelled
129,1232,11/29/2023,10/14/2024,10/17/2024,208.37,3,651.93,Entire home/apt,Suburbs,7,5489,Strict,Cancelled
130,1388,7/18/2024,9/22/2023,9/28/2023,349.1,6,2128.53,Entire home/apt,Downtown,4,5187,Moderate,Confirmed
131,1163,2/12/2024,1/18/2023,1/20/2023,269.41,2,578.04,Entire home/apt,Downtown,8,5328,Flexible,Cancelled
132,1200,1/12/2024,4/5/2024,4/17/2024,333.84,12,4038.86,Entire home/apt,Uptown,3,5379,Flexible,Confirmed
133,1432,7/14/2023,8/30/2024,8/31/2024,84.87,1,117.77,Shared room,Downtown,1,5301,Moderate,Cancelled
134,1107,5/6/2023,1/28/2023,1/30/2023,201.77,2,437.42,Entire home/apt,Midtown,6,5078,Moderate,Confirmed
135,1072,9/27/2024,5/12/2023,5/19/2023,450.15,7,3178.39,Entire home/apt,Downtown,2,5173,Strict,Confirmed
136,1025,4/7/2023,1/4/2024,1/10/2024,146.62,6,902.24,Entire home/apt,Uptown,2,5496,Moderate,Cancelled
137,1294,9/14/2024,12/12/2023,12/25/2023,456.47,13,5963.74,Entire home/apt,Beachfront,8,5424,Strict,Confirmed
138,1388,4/22/2023,3/30/2023,4/1/2023,319.65,2,672.48,Entire home/apt,Suburbs,2,5075,Strict,Cancelled
139,1094,2/16/2024,4/9/2023,4/10/2023,405.76,1,438.52,Private room,Beachfront,7,5313,Moderate,Confirmed
140,1404,11/10/2023,3/12/2024,3/22/2024,412.73,10,4159.94,Shared room,Downtown,1,5197,Strict,Confirmed
141,1280,1/20/2024,9/17/2023,9/18/2023,429.32,1,442.28,Private room,Downtown,2,5416,Moderate,Cancelled
142,1208,9/25/2023,7/2/2023,7/11/2023,310.58,9,2842.19,Shared room,Uptown,5,5096,Strict,Confirmed
143,1186,2/13/2023,6/15/2023,6/21/2023,362.47,6,2215.13,Shared room,Downtown,2,5343,Strict,Cancelled
144,1458,9/3/2023,10/23/2024,10/31/2024,458.69,8,3713.31,Entire home/apt,Uptown,6,5252,Flexible,Cancelled
145,1220,4/16/2023,9/2/2023,9/6/2023,242.22,4,1001.67,Shared room,Midtown,8,5232,Flexible,Confirmed
146,1041,10/3/2023,10/4/2024,10/13/2024,404.27,9,3655.4,Private room,Suburbs,7,5189,Moderate,Confirmed
147,1020,3/21/2023,10/21/2023,10/25/2023,412.84,4,1690.59,Entire home/apt,Midtown,3,5282,Strict,Cancelled
148,1451,11/30/2024,5/9/2023,5/18/2023,146.63,9,1331.92,Private room,Uptown,1,5121,Flexible,Confirmed
149,1462,2/8/2023,11/15/2023,11/25/2023,227.33,10,2314.41,Shared room,Beachfront,1,5287,Strict,Confirmed
150,1228,10/24/2023,2/14/2024,2/25/2024,242.47,11,2701.55,Private room,Midtown,6,5436,Strict,Confirmed
151,1158,2/1/2025,4/23/2023,4/27/2023,394.46,4,1612.92,Shared room,Uptown,3,5314,Moderate,Cancelled
152,1374,12/5/2023,6/4/2023,6/13/2023,473.44,9,4288.9,Private room,Midtown,8,5476,Flexible,Confirmed
153,1380,11/10/2024,12/6/2023,12/20/2023,150.36,14,2124.51,Entire home/apt,Downtown,4,5335,Moderate,Cancelled
154,1117,1/16/2024,6/12/2024,6/23/2024,60.96,11,692.88,Private room,Uptown,1,5415,Moderate,Cancelled
155,1001,10/28/2024,10/1/2024,10/8/2024,194.75,7,1386.38,Entire home/apt,Downtown,3,5417,Strict,Cancelled
156,1352,7/20/2024,12/18/2024,12/19/2024,91.07,1,102.13,Entire home/apt,Midtown,3,5164,Strict,Cancelled
157,1029,2/16/2024,9/27/2024,9/29/2024,296.38,2,640.2,Entire home/apt,Suburbs,4,5070,Moderate,Confirmed
158,1172,2/25/2023,8/21/2023,8/25/2023,412.86,4,1672.63,Entire home/apt,Uptown,4,5468,Moderate,Confirmed
159,1108,2/7/2024,11/18/2023,11/19/2023,434.67,1,456.18,Private room,Beachfront,5,5263,Strict,Confirmed
160,1320,1/17/2025,11/26/2023,12/2/2023,319.3,6,1932.95,Shared room,Uptown,2,5338,Moderate,Cancelled
161,1416,8/20/2023,1/1/2024,1/15/2024,475.7,14,6696.21,Entire home/apt,Downtown,7,5280,Flexible,Confirmed
162,1404,5/12/2023,10/1/2023,10/13/2023,455.99,12,5497.74,Shared room,Downtown,3,5167,Moderate,Cancelled
163,1222,7/3/2023,10/11/2023,10/14/2023,242.92,3,771.42,Private room,Downtown,5,5489,Moderate,Confirmed
164,1432,5/13/2023,11/10/2024,11/12/2024,91.46,2,206.07,Private room,Midtown,8,5240,Strict,Cancelled
165,1146,7/1/2023,3/21/2024,4/3/2024,146.98,13,1930.73,Shared room,Beachfront,1,5154,Flexible,Cancelled
166,1190,5/27/2023,3/11/2024,3/21/2024,305.37,10,3067.11,Entire home/apt,Suburbs,7,5097,Strict,Cancelled
167,1274,10/22/2023,1/28/2024,2/3/2024,62.98,6,420.2,Entire home/apt,Uptown,1,5431,Strict,Confirmed
168,1232,3/11/2023,11/20/2024,11/23/2024,468.28,3,1435.88,Shared room,Midtown,6,5223,Flexible,Confirmed
169,1218,4/13/2023,10/26/2024,11/5/2024,140.76,10,1445.04,Private room,Beachfront,1,5173,Moderate,Cancelled
170,1065,7/14/2023,7/28/2024,8/10/2024,101.63,13,1335.68,Private room,Midtown,6,5020,Flexible,Confirmed
171,1133,7/15/2023,2/16/2024,2/28/2024,271.78,12,3294.24,Shared room,Suburbs,2,5304,Flexible,Cancelled
172,1217,6/30/2024,2/7/2023,2/16/2023,50.88,9,484.04,Private room,Downtown,6,5011,Moderate,Confirmed
173,1044,6/29/2024,8/16/2024,8/26/2024,398.63,10,4022.78,Entire home/apt,Midtown,8,5402,Strict,Cancelled
174,1213,4/4/2023,6/10/2023,6/19/2023,260.8,9,2394.9,Private room,Suburbs,5,5199,Strict,Cancelled
175,1112,3/24/2024,6/17/2024,6/20/2024,174.12,3,562.09,Private room,Suburbs,8,5287,Flexible,Confirmed
176,1445,8/28/2024,12/14/2024,12/15/2024,66.19,1,105.23,Shared room,Uptown,8,5001,Strict,Confirmed
177,1217,6/27/2023,10/16/2023,10/28/2023,175.15,12,2115.95,Entire home/apt,Uptown,7,5019,Flexible,Cancelled
178,1480,12/11/2024,9/1/2024,9/8/2024,389.1,7,2742.5,Shared room,Beachfront,4,5263,Flexible,Cancelled
179,1386,3/9/2024,2/27/2024,3/3/2024,159.36,5,823.18,Private room,Beachfront,8,5492,Flexible,Cancelled
180,1126,5/18/2023,4/30/2023,5/13/2023,118.9,13,1569.64,Private room,Downtown,8,5309,Strict,Confirmed
181,1088,9/26/2024,5/13/2023,5/19/2023,437.63,6,2660.77,Entire home/apt,Uptown,8,5477,Moderate,Confirmed
182,1463,8/3/2023,8/11/2023,8/18/2023,464,7,3290.88,Entire home/apt,Midtown,6,5395,Flexible,Confirmed
183,1206,7/9/2024,3/7/2023,3/15/2023,87.35,8,746.3,Shared room,Uptown,6,5228,Flexible,Confirmed
184,1014,11/25/2023,12/2/2024,12/6/2024,359.66,4,1472.73,Shared room,Downtown,1,5108,Flexible,Confirmed
185,1268,1/10/2023,1/20/2023,1/30/2023,408.97,10,4133.09,Entire home/apt,Downtown,2,5288,Strict,Cancelled
186,1439,11/5/2024,4/12/2023,4/25/2023,123.74,13,1654.24,Shared room,Downtown,3,5142,Strict,Confirmed
187,1181,6/9/2024,7/2/2023,7/16/2023,357.37,14,5045.68,Shared room,Midtown,2,5001,Moderate,Confirmed
188,1168,10/10/2023,8/29/2024,9/7/2024,324.79,9,2955.32,Private room,Midtown,7,5145,Strict,Cancelled
189,1394,4/8/2024,8/6/2023,8/16/2023,78.4,10,831.66,Shared room,Suburbs,7,5133,Flexible,Cancelled
190,1437,2/15/2023,4/14/2023,4/26/2023,166.99,12,2039.38,Private room,Suburbs,6,5440,Moderate,Cancelled
191,1316,1/15/2024,2/17/2023,2/27/2023,111.87,10,1166.67,Private room,Suburbs,1,5418,Strict,Cancelled
192,1141,1/5/2024,11/29/2024,12/9/2024,229.81,10,2346.68,Entire home/apt,Uptown,5,5144,Strict,Cancelled
193,1363,7/5/2023,3/27/2023,4/6/2023,451.28,10,4560.34,Entire home/apt,Uptown,2,5058,Strict,Confirmed
194,1334,1/30/2025,6/8/2024,6/15/2024,135.8,7,977.87,Shared room,Downtown,5,5110,Flexible,Confirmed
195,1435,7/8/2023,3/26/2024,3/31/2024,295.84,5,1518.17,Shared room,Beachfront,6,5491,Moderate,Cancelled
196,1235,10/22/2024,7/9/2023,7/14/2023,178.51,5,932.05,Private room,Midtown,4,5224,Flexible,Confirmed
197,1343,12/20/2024,4/28/2024,5/8/2024,193.92,10,1951.78,Entire home/apt,Uptown,1,5158,Moderate,Confirmed
198,1121,8/10/2023,12/2/2024,12/5/2024,199.1,3,620.44,Private room,Midtown,2,5468,Flexible,Cancelled
199,1480,7/30/2023,12/7/2023,12/13/2023,414.68,6,2535.13,Entire home/apt,Beachfront,4,5261,Moderate,Cancelled
200,1010,1/4/2023,8/18/2024,8/23/2024,114.27,5,615.97,Shared room,Suburbs,3,5417,Moderate,Cancelled
201,1187,2/3/2025,9/14/2024,9/19/2024,232.9,5,1209.65,Private room,Beachfront,4,5382,Strict,Cancelled
202,1183,9/14/2023,8/17/2024,8/26/2024,306.56,9,2785.61,Private room,Suburbs,6,5139,Flexible,Confirmed
203,1300,7/31/2023,2/7/2025,2/13/2025,289.55,6,1764.5,Entire home/apt,Midtown,2,5315,Flexible,Cancelled
204,1191,5/6/2024,10/21/2024,10/30/2024,344.72,9,3149.28,Entire home/apt,Uptown,5,5158,Flexible,Cancelled
205,1330,5/19/2024,6/17/2024,6/26/2024,416.5,9,3775.69,Shared room,Midtown,4,5206,Moderate,Confirmed
206,1214,4/9/2023,10/4/2023,10/9/2023,185.7,5,953.61,Entire home/apt,Uptown,2,5331,Moderate,Cancelled
207,1250,12/12/2023,3/9/2023,3/18/2023,106.98,9,989.55,Entire home/apt,Downtown,2,5500,Moderate,Cancelled
208,1171,1/18/2024,8/23/2023,8/31/2023,291.19,8,2346.04,Entire home/apt,Uptown,8,5497,Flexible,Confirmed
209,1426,8/8/2024,12/8/2024,12/9/2024,427.95,1,450.02,Entire home/apt,Downtown,3,5309,Flexible,Cancelled
210,1224,8/30/2023,2/20/2023,3/6/2023,145.85,14,2080.99,Private room,Beachfront,5,5270,Flexible,Cancelled
211,1447,4/4/2024,8/28/2023,9/9/2023,181.24,12,2221.99,Entire home/apt,Midtown,1,5263,Moderate,Cancelled
212,1420,11/14/2024,2/1/2023,2/13/2023,321.22,12,3892.2,Shared room,Uptown,3,5191,Flexible,Cancelled
213,1165,12/12/2023,9/13/2023,9/17/2023,179.87,4,756.83,Private room,Suburbs,6,5115,Moderate,Cancelled
214,1195,5/4/2023,11/11/2023,11/13/2023,491.87,2,1023.27,Shared room,Suburbs,7,5361,Strict,Cancelled
215,1154,1/11/2025,5/26/2024,6/3/2024,263.66,8,2129.61,Private room,Uptown,2,5055,Flexible,Cancelled
216,1377,4/15/2023,1/13/2025,1/22/2025,458.01,9,4169.73,Entire home/apt,Downtown,7,5060,Moderate,Cancelled
217,1135,6/11/2024,6/10/2024,6/17/2024,209.56,7,1502.53,Shared room,Beachfront,4,5466,Strict,Confirmed
